KO	base_KO	symbol	name	module	pathways	n_isolates	Pauljensenia__(9)	Actinomyces__(15)	Staphy.+Nialla__(10)	Cupriayidus__(8)	Cutibacterium__(14)	Fusobacterium+Leptotrichia__(13)	Gemella__(5)	Granulicatella__(12)	Haemophilus__(11)	Micrococcus__(7)	Prevotella__(6)	Rothia__(4)	Strep.II__(2)	Strep.I__(1)	Veillonella__(3)
K01653	K00053	E2.2.1.6S, ilvH, ilvN	acetolactate synthase I/III small subunit [EC:2.2.1.6]	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	map00290 Valine, leucine and isoleucine biosynthesis,map00650 Butanoate metabolism,map00660 C5-Branched dibasic acid metabolism,map00770 Pantothenate and CoA biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids	106	0.424	-0.008	0.424	0.49	-0.008	0.142	-2.245	-1.629	0.347	0.49	-1.348	0.602	0.235	1.213	0.649
K00054	K00054	mvaA	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	C5 isoprenoid biosynthesis, mevalonate pathway, archaea	map00900 Terpenoid backbone biosynthesis,map01110 Biosynthesis of secondary metabolites	71	-1.274	0.601	1.042	-0.933	-0.825	-0.422	1.227	0.754	-1.192	-1.345	-1.408	-1.466	1.615	1.912	-1.519
K00055	K00055	E1.1.1.90	aryl-alcohol dehydrogenase [EC:1.1.1.90]	Xylene degradation, xylene => methylbenzoate	map00350 Tyrosine metabolism,map00360 Phenylalanine metabolism,map00622 Xylene degradation,map00623 Toluene degradation,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01220 Degradation of aromatic compounds	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K00365	K00055	uaZ	urate oxidase [EC:1.7.3.3]	Purine degradation, xanthine => urea	map00230 Purine metabolism,map00232 Caffeine metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K00483	K00055	hpaB	4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]	""	map00350 Tyrosine metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01220 Degradation of aromatic compounds	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K00594	K00055	xyoA, aldO	alditol oxidase [EC:1.1.3.41]	""	map00040 Pentose and glucuronate interconversions,map00051 Fructose and mannose metabolism,map01100 Metabolic pathways	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K00686	K00055	tgl	protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13]	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K00839	K00055	pucG	(S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112]	""	map00230 Purine metabolism,map01100 Metabolic pathways	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K00978	K00055	rfbF	glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]	""	map00500 Starch and sucrose metabolism,map00520 Amino sugar and nucleotide sugar metabolism,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01250 Biosynthesis of nucleotide sugars	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K01136	K00055	IDS	iduronate 2-sulfatase [EC:3.1.6.13]	Dermatan sulfate degradation	map00531 Glycosaminoglycan degradation,map01100 Metabolic pathways,map04142 Lysosome	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K01213	K00055	E3.2.1.67	galacturan 1,4-alpha-galacturonidase [EC:3.2.1.67]	Pectin degradation	map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K01308	K00055	yqgT	g-D-glutamyl-meso-diaminopimelate peptidase [EC:3.4.19.11]	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K01466	K00055	allB	allantoinase [EC:3.5.2.5]	Purine degradation, xanthine => urea	map00230 Purine metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K01567	K00055	pdaA	peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-]	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K01852	K00055	LSS, ERG7	lanosterol synthase [EC:5.4.99.7]	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	map00100 Steroid biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K01994	K00055	gerE	LuxR family transcriptional regulator, transcriptional regulator of spore coat protein	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K02103	K00055	araR	GntR family transcriptional regulator, arabinose operon transcriptional repressor	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K02239	K00055	comER	competence protein ComER	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K02249	K00055	comGG	competence protein ComGG	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K02277	K00055	coxD, ctaF	cytochrome c oxidase subunit IV [EC:7.1.1.9]	Cytochrome c oxidase, prokaryotes	map00190 Oxidative phosphorylation,map01100 Metabolic pathways	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K02383	K00055	flbB	flagellar protein FlbB	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K02488	K00055	pleD	two-component system, cell cycle response regulator [EC:2.7.7.65]	""	map02020 Two-component system,map04112 Cell cycle - Caulobacter	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K02490	K00055	spo0F	two-component system, response regulator, stage 0 sporulation protein F	""	map02020 Two-component system,map02024 Quorum sensing	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K02491	K00055	kinA	two-component system, sporulation sensor kinase A [EC:2.7.13.3]	""	map02020 Two-component system	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K02545	K00055	mecA	penicillin-binding protein 2 prime [EC:3.4.16.4]	Methicillin resistance	map00550 Peptidoglycan biosynthesis,map01100 Metabolic pathways,map01501 beta-Lactam resistance	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K03409	K00055	cheX	chemotaxis protein CheX	""	map02030 Bacterial chemotaxis	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K03410	K00055	cheC	chemotaxis protein CheC	""	map02030 Bacterial chemotaxis	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K04769	K00055	spoVT	AbrB family transcriptional regulator, stage V sporulation protein T	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K05303	K00055	K05303	O-methyltransferase [EC:2.1.1.-]	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K05518	K00055	rsbX	phosphoserine phosphatase RsbX [EC:3.1.3.3]	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K05519	K00055	med	transcriptional activator of comK gene	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K05739	K00055	seaA	uncharacterized protein	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K05793	K00055	terB	tellurite resistance protein TerB	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06012	K00055	gpr	spore protease [EC:3.4.24.78]	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06208	K00055	aroH	chorismate mutase [EC:5.4.99.5]	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	map00400 Phenylalanine, tyrosine and tryptophan biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06283	K00055	spoIIID	putative DeoR family transcriptional regulator, stage III sporulation protein D	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06284	K00055	abrB	AbrB family transcriptional regulator, transcriptional pleiotropic regulator of transition state genes	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06294	K00055	gerD	spore germination protein D	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06295	K00055	gerKA	spore germination protein KA	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06296	K00055	gerKB	spore germination protein KB	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06297	K00055	gerKC	spore germination protein KC	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06299	K00055	gerPA	spore germination protein PA	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06300	K00055	gerPB	spore germination protein PB	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06301	K00055	gerPC	spore germination protein PC	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06302	K00055	gerPD	spore germination protein PD	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06303	K00055	gerPE	spore germination protein PE	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06304	K00055	gerPF	spore germination protein PF	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06305	K00055	gerQ	spore germination protein Q	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06306	K00055	yaaH	spore germination protein	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06308	K00055	yfkR	spore germination protein	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06314	K00055	rsfA	prespore-specific regulator	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06315	K00055	splA	transcriptional regulator of the spore photoproduct lyase operon	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06317	K00055	bofA	inhibitor of the pro-sigma K processing machinery	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06318	K00055	bofC	forespore regulator of the sigma-K checkpoint	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06324	K00055	cotA	spore coat protein A, manganese oxidase [EC:1.16.3.3]	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06327	K00055	cotD	spore coat protein D	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06328	K00055	cotE	spore coat protein E	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06329	K00055	cotF	spore coat protein F	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06332	K00055	cotJA	spore coat protein JA	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06333	K00055	cotJB	spore coat protein JB	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06334	K00055	cotJC	spore coat protein JC	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06343	K00055	cotY	spore coat protein Y	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06344	K00055	cotZ	spore coat protein Z	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06345	K00055	coxA	spore cortex protein	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06348	K00055	kapD	sporulation inhibitor KapD	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06370	K00055	safA	morphogenetic protein associated with SpoVID	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06371	K00055	sda	developmental checkpoint coupling sporulation initiation to replication initiation	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06375	K00055	spo0B	stage 0 sporulation protein B (sporulation initiation phosphotransferase) [EC:2.7.-.-]	""	map02020 Two-component system,map02024 Quorum sensing	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06378	K00055	spoIIAA	stage II sporulation protein AA (anti-sigma F factor antagonist)	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06379	K00055	spoIIAB	stage II sporulation protein AB (anti-sigma F factor) [EC:2.7.11.1]	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06380	K00055	spoIIB	stage II sporulation protein B	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06382	K00055	spoIIE	stage II sporulation protein E [EC:3.1.3.16]	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06383	K00055	spoIIGA	stage II sporulation protein GA (sporulation sigma-E factor processing peptidase) [EC:3.4.23.-]	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06386	K00055	spoIIQ	stage II sporulation protein Q	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06387	K00055	spoIIR	stage II sporulation protein R	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06390	K00055	spoIIIAA	stage III sporulation protein AA	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06391	K00055	spoIIIAB	stage III sporulation protein AB	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06392	K00055	spoIIIAC	stage III sporulation protein AC	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06393	K00055	spoIIIAD	stage III sporulation protein AD	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06394	K00055	spoIIIAE	stage III sporulation protein AE	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06395	K00055	spoIIIAF	stage III sporulation protein AF	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06396	K00055	spoIIIAG	stage III sporulation protein AG	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06397	K00055	spoIIIAH	stage III sporulation protein AH	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06401	K00055	spoIVFA	stage IV sporulation protein FA	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06403	K00055	spoVAA	stage V sporulation protein AA	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06404	K00055	spoVAB	stage V sporulation protein AB	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06405	K00055	spoVAC	stage V sporulation protein AC	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06406	K00055	spoVAD	stage V sporulation protein AD	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06407	K00055	spoVAE	stage V sporulation protein AE	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06408	K00055	spoVAF	stage V sporulation protein AF	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06411	K00055	spoVFB	dipicolinate synthase subunit B	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06416	K00055	spoVS	stage V sporulation protein S	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06418	K00055	SASP-A, sspA	small acid-soluble spore protein A (major alpha-type SASP)	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06421	K00055	sspD	small acid-soluble spore protein D (minor alpha/beta-type SASP)	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06423	K00055	sspF	small acid-soluble spore protein F (minor alpha/beta-type SASP)	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06425	K00055	sspH	small acid-soluble spore protein H (minor)	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06426	K00055	sspI	small acid-soluble spore protein I (minor)	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06428	K00055	sspK	small acid-soluble spore protein K (minor)	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06429	K00055	sspL	small acid-soluble spore protein L (minor)	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06431	K00055	sspN	small acid-soluble spore protein N (minor)	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06434	K00055	tlp	small acid-soluble spore protein (thioredoxin-like protein)	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06436	K00055	yabG	spore coat assemly protein	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06439	K00055	yraD	similar to spore coat protein	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06440	K00055	yraG	similar to spore coat protein	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06595	K00055	hemAT	heam-based aerotactic trancducer	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06882	K00055	K06882	uncharacterized protein	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K07181	K00055	cdgJ	c-di-GMP phosphodiesterase [EC:3.1.4.52]	""	map05111 Biofilm formation - Vibrio cholerae	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K07182	K00055	K07182	CBS domain-containing protein	""	""	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K07406	K00055	melA	alpha-galactosidase [EC:3.2.1.22]	""	map00052 Galactose metabolism,map00561 Glycerolipid metabolism,map00600 Sphingolipid metabolism,map00603 Glycosphingolipid biosynthesis - globo and isoglobo series,map01100 Metabolic pathways	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K07692	K00055	degU	two-component system, NarL family, response regulator DegU	""	map02020 Two-component system,map02024 Quorum sensing	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K07697	K00055	kinB	two-component system, sporulation sensor kinase B [EC:2.7.13.3]	""	map02020 Two-component system	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K07703	K00055	dcuR	two-component system, CitB family, response regulator DcuR	""	map02020 Two-component system	1	0.787	1.217	1.818	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
