KO	symbol	name	module	pathways
K00174	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	Citrate cycle (TCA cycle, Krebs cycle)	map00010 Glycolysis / Gluconeogenesis,map00020 Citrate cycle (TCA cycle),map00620 Pyruvate metabolism,map00650 Butanoate metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00175	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	Citrate cycle (TCA cycle, Krebs cycle)	map00010 Glycolysis / Gluconeogenesis,map00020 Citrate cycle (TCA cycle),map00620 Pyruvate metabolism,map00650 Butanoate metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00176	korD, oorD	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00177	korC, oorC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00179	iorA	indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]		 
K00186	vorA	2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]		map00280 Valine, leucine and isoleucine degradation,map01100 Metabolic pathways
K00187	vorB	2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]		map00280 Valine, leucine and isoleucine degradation,map01100 Metabolic pathways
K00198	cooS, acsA	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	map00633 Nitrotoluene degradation,map00680 Methane metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00207	DPYD	dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	map00240 Pyrimidine metabolism,map00410 beta-Alanine metabolism,map00770 Pantothenate and CoA biosynthesis,map00983 Drug metabolism - other enzymes,map01100 Metabolic pathways
K00208	fabI	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	Fatty acid biosynthesis, elongation	map00061 Fatty acid biosynthesis,map00333 Prodigiosin biosynthesis,map00780 Biotin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01212 Fatty acid metabolism,map01240 Biosynthesis of cofactors
K00209	fabV, ter	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	Fatty acid biosynthesis, elongation	map00061 Fatty acid biosynthesis,map00650 Butanoate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01212 Fatty acid metabolism
K00211	TYR1	prephenate dehydrogenase (NADP+) [EC:1.3.1.13]	Tyrosine biosynthesis, chorismate => HPP => tyrosine	map00400 Phenylalanine, tyrosine and tryptophan biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids
K00215	dapB	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	map00261 Monobactam biosynthesis,map00300 Lysine biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01230 Biosynthesis of amino acids
K00218	por	protochlorophyllide reductase [EC:1.3.1.33]		map00860 Porphyrin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00219	fadH	2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]		 
K00220	tyrC	cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]	Tyrosine biosynthesis, chorismate => arogenate => tyrosine	map00400 Phenylalanine, tyrosine and tryptophan biosynthesis,map00401 Novobiocin biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids
K00221	E4.99.1.2	alkylmercury lyase [EC:4.99.1.2]		 
K00223	ERG4	Delta24(24(1))-sterol reductase [EC:1.3.1.71]	Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol	map00100 Steroid biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00226	pyrD	dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	map00240 Pyrimidine metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K00228	CPOX, hemF	coproporphyrinogen III oxidase [EC:1.3.3.3]	Heme biosynthesis, plants and bacteria, glutamate => heme	map00860 Porphyrin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors
K00230	hemG	menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]	Heme biosynthesis, plants and bacteria, glutamate => heme	map00860 Porphyrin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors
K00231	PPOX, hemY	protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]	Heme biosynthesis, plants and bacteria, glutamate => heme	map00860 Porphyrin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors
K00232	E1.3.3.6, ACOX1, ACOX3	acyl-CoA oxidase [EC:1.3.3.6]	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	map00071 Fatty acid degradation,map00410 beta-Alanine metabolism,map00592 alpha-Linolenic acid metabolism,map00640 Propanoate metabolism,map01040 Biosynthesis of unsaturated fatty acids,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01200 Carbon metabolism,map01212 Fatty acid metabolism,map03320 PPAR signaling pathway,map04024 cAMP signaling pathway,map04146 Peroxisome,map04936 Alcoholic liver disease
K00239	sdhA, frdA	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00190 Oxidative phosphorylation,map00650 Butanoate metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map05134 Legionellosis
K00240	sdhB, frdB	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00190 Oxidative phosphorylation,map00650 Butanoate metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00241	sdhC, frdC	succinate dehydrogenase / fumarate reductase, cytochrome b subunit	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00190 Oxidative phosphorylation,map00650 Butanoate metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00242	sdhD, frdD	succinate dehydrogenase / fumarate reductase, membrane anchor subunit	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00190 Oxidative phosphorylation,map00650 Butanoate metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00243	K00243	uncharacterized protein		 
K00244	frdA	fumarate reductase flavoprotein subunit [EC:1.3.5.4]	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00190 Oxidative phosphorylation,map00620 Pyruvate metabolism,map00650 Butanoate metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map02020 Two-component system
K00245	frdB	fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00190 Oxidative phosphorylation,map00620 Pyruvate metabolism,map00650 Butanoate metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map02020 Two-component system
K00246	frdC	fumarate reductase subunit C	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00190 Oxidative phosphorylation,map00620 Pyruvate metabolism,map00650 Butanoate metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map02020 Two-component system
K00247	frdD	fumarate reductase subunit D	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00190 Oxidative phosphorylation,map00620 Pyruvate metabolism,map00650 Butanoate metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map02020 Two-component system
K00248	ACADS, bcd	butyryl-CoA dehydrogenase [EC:1.3.8.1]	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	map00071 Fatty acid degradation,map00280 Valine, leucine and isoleucine degradation,map00410 beta-Alanine metabolism,map00640 Propanoate metabolism,map00650 Butanoate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01212 Fatty acid metabolism
K00249	ACADM, acd	acyl-CoA dehydrogenase [EC:1.3.8.7]	Leucine degradation, leucine => acetoacetate + acetyl-CoA	map00071 Fatty acid degradation,map00280 Valine, leucine and isoleucine degradation,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01212 Fatty acid metabolism,map03320 PPAR signaling pathway,map04936 Alcoholic liver disease
K00252	GCDH, gcdH	glutaryl-CoA dehydrogenase [EC:1.3.8.6]	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	map00071 Fatty acid degradation,map00310 Lysine degradation,map00362 Benzoate degradation,map00380 Tryptophan metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments
K00253	IVD, ivd	isovaleryl-CoA dehydrogenase [EC:1.3.8.4]	Leucine degradation, leucine => acetoacetate + acetyl-CoA	map00280 Valine, leucine and isoleucine degradation,map01100 Metabolic pathways
K00254	DHODH, pyrD	dihydroorotate dehydrogenase [EC:1.3.5.2]	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	map00240 Pyrimidine metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K00255	ACADL	long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]	beta-Oxidation	map00071 Fatty acid degradation,map01100 Metabolic pathways,map01212 Fatty acid metabolism,map03320 PPAR signaling pathway
K00259	ald	alanine dehydrogenase [EC:1.4.1.1]		map00250 Alanine, aspartate and glutamate metabolism,map00430 Taurine and hypotaurine metabolism,map01100 Metabolic pathways
K00260	gudB, rocG	glutamate dehydrogenase [EC:1.4.1.2]		map00220 Arginine biosynthesis,map00250 Alanine, aspartate and glutamate metabolism,map00430 Taurine and hypotaurine metabolism,map00910 Nitrogen metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments
K00261	GLUD1_2, gdhA	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	Methylaspartate cycle	map00220 Arginine biosynthesis,map00250 Alanine, aspartate and glutamate metabolism,map00910 Nitrogen metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map04217 Necroptosis,map04964 Proximal tubule bicarbonate reclamation
K00262	E1.4.1.4, gdhA	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]		map00220 Arginine biosynthesis,map00250 Alanine, aspartate and glutamate metabolism,map00910 Nitrogen metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments
K00263	E1.4.1.9	leucine dehydrogenase [EC:1.4.1.9]		map00280 Valine, leucine and isoleucine degradation,map00290 Valine, leucine and isoleucine biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00265	gltB	glutamate synthase (NADPH) large chain [EC:1.4.1.13]		map00250 Alanine, aspartate and glutamate metabolism,map00910 Nitrogen metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01230 Biosynthesis of amino acids
K00266	gltD	glutamate synthase (NADPH) small chain [EC:1.4.1.13]		map00250 Alanine, aspartate and glutamate metabolism,map00910 Nitrogen metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01230 Biosynthesis of amino acids
K00274	MAO, aofH	monoamine oxidase [EC:1.4.3.4]	GABA biosynthesis, eukaryotes, putrescine => GABA	map00260 Glycine, serine and threonine metabolism,map00330 Arginine and proline metabolism,map00340 Histidine metabolism,map00350 Tyrosine metabolism,map00360 Phenylalanine metabolism,map00380 Tryptophan metabolism,map00950 Isoquinoline alkaloid biosynthesis,map00982 Drug metabolism - cytochrome P450,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map04726 Serotonergic synapse,map04728 Dopaminergic synapse,map05012 Parkinson disease,map05030 Cocaine addiction,map05031 Amphetamine addiction,map05034 Alcoholism
K00275	pdxH, PNPO	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	map00750 Vitamin B6 metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01240 Biosynthesis of cofactors
K00276	AOC3, AOC2, tynA	primary-amine oxidase [EC:1.4.3.21]		map00260 Glycine, serine and threonine metabolism,map00350 Tyrosine metabolism,map00360 Phenylalanine metabolism,map00410 beta-Alanine metabolism,map00950 Isoquinoline alkaloid biosynthesis,map00960 Tropane, piperidine and pyridine alkaloid biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00278	nadB	L-aspartate oxidase [EC:1.4.3.16]	NAD biosynthesis, aspartate => quinolinate => NAD	map00250 Alanine, aspartate and glutamate metabolism,map00760 Nicotinate and nicotinamide metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K00281	GLDC, gcvP	glycine dehydrogenase [EC:1.4.4.2]	Photorespiration	map00260 Glycine, serine and threonine metabolism,map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01200 Carbon metabolism
K00282	gcvPA	glycine dehydrogenase subunit 1 [EC:1.4.4.2]		map00260 Glycine, serine and threonine metabolism,map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01200 Carbon metabolism
K00283	gcvPB	glycine dehydrogenase subunit 2 [EC:1.4.4.2]		map00260 Glycine, serine and threonine metabolism,map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01200 Carbon metabolism
K00284	GLU, gltS	glutamate synthase (ferredoxin) [EC:1.4.7.1]		map00630 Glyoxylate and dicarboxylate metabolism,map00910 Nitrogen metabolism,map01120 Microbial metabolism in diverse environments
K00285	dadA	D-amino-acid dehydrogenase [EC:1.4.5.1]		map00360 Phenylalanine metabolism,map00470 D-Amino acid metabolism,map01100 Metabolic pathways
K00286	proC	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	Proline biosynthesis, glutamate => proline	map00330 Arginine and proline metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids
K00287	DHFR, folA	dihydrofolate reductase [EC:1.5.1.3]	Tetrahydrofolate biosynthesis, GTP => THF	map00670 One carbon pool by folate,map00790 Folate biosynthesis,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors,map01523 Antifolate resistance
